1	=A1+1	=B1+1	=C1+1	=D1+1	=E1+1	=F1+1	=G1+1	=H1+1	=I1+1	=J1+1	=K1+1	=L1+1	=M1+1	=N1+1	=O1+1	=P1+1	=Q1+1	=R1+1	=S1+1	=T1+1	=U1+1	=V1+1	=W1+1	=X1+1	=Y1+1	=Z1+1	=AA1+1	=AB1+1	=AC1+1	=AD1+1	=AE1+1	=AF1+1	=AG1+1	=AH1+1	=AI1+1	=AJ1+1	=AK1+1	=AL1+1	=AM1+1	=AN1+1	=AO1+1	=AP1+1	=AQ1+1	=AR1+1	=AS1+1	=AT1+1	=AU1+1	=AV1+1	=AW1+1	=AX1+1
転記コード	分類	団体コード	年度	会計コード	会計名称	款コード	款名称	所属コード	所属部名称	所属課名称	所属係名称	項コード	項名称	目コード	目名称	大事業コード	大事業名称	中事業コード	中事業名称	小事業コード	小事業名称	施策コード	施策名称大	施策名称中	前年度最終予算額	今年度予算額	補正前予算額	今回補正額	補正後額	前々年度決算額	前年度決算額	今年度決算額	財源内訳内訳（国庫支出金）	財源内訳内訳（県支出金）	財源内訳内訳（市債）	財源内訳内訳（分担金・負担金）	財源内訳内訳（使用料・手数料）	財源内訳内訳（その他）	翌年度繰越額	目的	問題点・課題等	節コード（頭2桁）	節名称	節金額	節コード	細々節名称	細々節金額	積算内容	節金額2	細々節金額2
=D71&R71&AU71	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	10	需用費	3287	100601	修繕料	1500	電気設備修繕（美袋排水機場）　1,500,000円	=予算!$AS71*1000	=予算!$AV71*1000
=D72&R72&AU72	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	11	役務費	1100	110101	通信運搬費	180	緊急通報装置通信料　(ネット回線5,000円（／月）×12月+電話2,500円（／月）×12月)×2箇所＝　	=予算!$AS72*1000	=予算!$AV72*1000
=D73&R73&AU73	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	11	役務費	1100	110401	手数料	920	大雨による緊急出動時のポンプ運転管理　460千円×2箇所	=予算!$AS73*1000	=予算!$AV73*1000
=D74&R74&AU74	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	12	委託料	2760	120901	電気設備保守委託料	700	秦　　自家用電気工作物保安管理業務委託　250,000円（年）　美袋　自家用電気工作物保安管理業務委託　450,000円（年）	=予算!$AS74*1000	=予算!$AV74*1000
=D75&R75&AU75	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	12	委託料	2760	121001	除草等委託料	300	河川用地除草業務委託　２回分　国府川，井手川 　300,000円	=予算!$AS75*1000	=予算!$AV75*1000
=D76&R76&AU76	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	12	委託料	2760	122301	機械器具等保守委託料	1760	排水機場（設備、電気）点検業務委託　800,000円×1.1×2箇所	=予算!$AS76*1000	=予算!$AV76*1000
=D77&R77&AU77	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	2	河川改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	56890	89147	0	0	0	0	0	0	0	0	82000	0	0	0	0	河川の護岸整備及び排水機場等の維持管理経費。	河川改良を行うことにより安全安心な生活を確保できる。＠＄改行＄＠秦地区及び美袋地区の排水機場については，雨量等から運転設定水位の精査を行っていく必要がある。	14	工事請負費	82000	140101	工事請負費	82000	『R7実計内示A』別所谷川　北溝手下水路　6,000千円　　資料２４　　①富原支線３０５１号道外３線　　7,000,000円　　資料９　①別所谷川（久代）　60,000,000円　　資料１９　※部長復	=予算!$AS77*1000	=予算!$AV77*1000
=D78&R78&AU78	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	3	準用河川改修事業（国府川）	0		0		1090000	だれもが安心して住みたくなる総社	①防災・減災・消防	33000	31500	0	0	0	0	0	0	10000	0	17100	0	0	0	0	防災事業として行う準用河川改修事業。	平成14年に国道180号橋りょう改築工事を実施し，河川改修は平成16年から行っている。＠＄改行＄＠スイゲンゼニタナゴの生息調査や埋蔵文化財の発掘調査，予算措置も影響し事業が長期化している。＠＄改行＄＠計画完了年度は令和12年度。	12	委託料	1500	121501	設計等委託料	1500	『R7実計内示A』　　資料２１　（補助分）スイゲンゼニタナゴ保護移動業務　1,500,000円　『臨時的経費』地元との約束事項　（単市分）橋梁設計　28,000,000円　※査定（橋梁設計はゼロ）　-	=予算!$AS78*1000	=予算!$AV78*1000
=D79&R79&AU79	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	3	準用河川改修事業（国府川）	0		0		1090000	だれもが安心して住みたくなる総社	①防災・減災・消防	33000	31500	0	0	0	0	0	0	10000	0	17100	0	0	0	0	防災事業として行う準用河川改修事業。	平成14年に国道180号橋りょう改築工事を実施し，河川改修は平成16年から行っている。＠＄改行＄＠スイゲンゼニタナゴの生息調査や埋蔵文化財の発掘調査，予算措置も影響し事業が長期化している。＠＄改行＄＠計画完了年度は令和12年度。	14	工事請負費	30000	140101	工事請負費	30000	『R7実計内示A』　　資料２１　　（補助分）28,500千円　　（単市分）1,500千円　（歳入）社会資本整備総合交付金　補助対象事業費30,000千円×1/3％=10,000千円	=予算!$AS79*1000	=予算!$AV79*1000
=D80&R80&AU80	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	6	特定事業対策関係河川改良等事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	0	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	砂防事業実施のための義務行為。	土砂災害防止対策を実施することにより地域の安心安全な生活の確保が期待できる。	12	委託料	2400	129101	申請業務委託料	2400	『臨時的経費』　　資料２２　浅井谷砂防指定地申請業務　2,400,000円	=予算!$AS80*1000	=予算!$AV80*1000
=D81&R81&AU81	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	8	内水対策事業	0		0		1090000	だれもが安心して住みたくなる総社	①防災・減災・消防	13000	199600	0	0	0	0	0	0	0	0	199000	0	0	0	0	作原地区の内水対策事業。	岡山県が整備する築堤整備に合わせて整備する必要がある。	12	委託料	3600	121801	工事等委託料	3000	『R7実計内示A』　　資料２３　岡山県受託工事（作原内水対策）　3,000千円　（歳入）緊自債　199,000千円×100％＝199,000千円	=予算!$AS81*1000	=予算!$AV81*1000
=D82&R82&AU82	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	8	内水対策事業	0		0		1090000	だれもが安心して住みたくなる総社	①防災・減災・消防	13000	199600	0	0	0	0	0	0	0	0	199000	0	0	0	0	作原地区の内水対策事業。	岡山県が整備する築堤整備に合わせて整備する必要がある。	12	委託料	3600	129101	運搬設置委託料	600	『R7実計内示A』　　資料２３　排水ポンプ運搬設置委託　　100千円×2回×3台	=予算!$AS82*1000	=予算!$AV82*1000
=D83&R83&AU83	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	8	内水対策事業	0		0		1090000	だれもが安心して住みたくなる総社	①防災・減災・消防	13000	199600	0	0	0	0	0	0	0	0	199000	0	0	0	0	作原地区の内水対策事業。	岡山県が整備する築堤整備に合わせて整備する必要がある。	14	工事請負費	46000	140101	工事請負費	46000	『R7実計内示A』　　資料２３　排水ポンプ置場整備　46,000千円　※査定ゼロ　-46,000千円　※部長復活　46,000千円　（歳入）緊自債　199,000千円×100％＝199,000千円	=予算!$AS83*1000	=予算!$AV83*1000
=D84&R84&AU84	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		3	河川費	1	河川事業費	8	内水対策事業	0		0		1090000	だれもが安心して住みたくなる総社	①防災・減災・消防	13000	199600	0	0	0	0	0	0	0	0	199000	0	0	0	0	作原地区の内水対策事業。	岡山県が整備する築堤整備に合わせて整備する必要がある。	17	備品購入費	150000	170201	機械器具費	150000	『R7実計内示A』　　資料２３　排水ポンプ購入３台　　50,000千円×3台　（歳入）緊自債　199,000千円×100％＝199,000千円	=予算!$AS84*1000	=予算!$AV84*1000
=D85&R85&AU85	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		4	都市計画費	3	都市下水路費	2	都市下水路改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	2500	48000	0	0	0	0	0	0	0	0	0	0	0	0	0	断面不足，勾配不整等を解消し，大雨時の冠水等を防ぐ事業。	予算の範囲内で各地区土木担当の要望対応を行っている。	12	委託料	18000	121501	設計等委託料	18000	測量設計　※部長復活（金井戸下水路）　18,000千円	=予算!$AS85*1000	=予算!$AV85*1000
=D86&R86&AU86	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		4	都市計画費	3	都市下水路費	2	都市下水路改良事業	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	2500	48000	0	0	0	0	0	0	0	0	0	0	0	0	0	断面不足，勾配不整等を解消し，大雨時の冠水等を防ぐ事業。	予算の範囲内で各地区土木担当の要望対応を行っている。	14	工事請負費	30000	140101	工事請負費	30000	『R7実計内示A』別所谷川　北溝手下水路　6,000千円　　資料２４　　①富原支線３０５１号道外３線　　7,000,000円　　資料９　①別所谷川（久代）　60,000,000円　　資料１９　※部長復	=予算!$AS86*1000	=予算!$AV86*1000
=D87&R87&AU87																																																	=予算!$AS87*1000	=予算!$AV87*1000
=D88&R88&AU88			R6														道路改良等事業（単独分）																										工事請負費〔繰越明許〕	21000		工事請負費〔繰越明許〕	21000		=予算!$AS88*1000	=予算!$AV88*1000
=D89&R89&AU89			R6														道路改良等事業（単独分）																										公有財産購入費〔繰越明許〕	2350		公有財産購入費〔繰越明許〕	2350		=予算!$AS89*1000	=予算!$AV89*1000
=D90&R90&AU90			R6														道路舗装新設等事業（単独分）																										工事請負費〔繰越明許〕	10000		工事請負費〔繰越明許〕	10000		=予算!$AS90*1000	=予算!$AV90*1000
=D91&R91&AU91			R6														元町井手本線改良事業																										工事請負費〔繰越明許〕	58400		工事請負費〔繰越明許〕	58400		=予算!$AS91*1000	=予算!$AV91*1000
=D92&R92&AU92			R6														元町井手本線改良事業																										補償，補填及び賠償金〔繰越明許〕	8000		補償費〔繰越明許〕	8000		=予算!$AS92*1000	=予算!$AV92*1000
=D93&R93&AU93			R6														東総社駅前泉本線改良事業																										報酬〔繰越明許〕	2300		報酬〔繰越明許〕	2300		=予算!$AS93*1000	=予算!$AV93*1000
=D94&R94&AU94			R6														東総社駅前泉本線改良事業																										職員手当等〔繰越明許〕	2034		職員手当等〔繰越明許〕	2034		=予算!$AS94*1000	=予算!$AV94*1000
=D95&R95&AU95			R6														東総社駅前泉本線改良事業																										共済費〔繰越明許〕	530		共済費〔繰越明許〕	530		=予算!$AS95*1000	=予算!$AV95*1000
=D96&R96&AU96			R6														東総社駅前泉本線改良事業																										旅費〔繰越明許〕	28		旅費〔繰越明許〕	28		=予算!$AS96*1000	=予算!$AV96*1000
=D97&R97&AU97			R6														東総社駅前泉本線改良事業																										需用費〔繰越明許〕	152		需用費〔繰越明許〕	152		=予算!$AS97*1000	=予算!$AV97*1000
=D98&R98&AU98			R6														東総社駅前泉本線改良事業																										使用量及び賃借料〔繰越明許〕	2000		使用量及び賃借料〔繰越明許〕	2000		=予算!$AS98*1000	=予算!$AV98*1000
=D99&R99&AU99			R6														東総社駅前泉本線改良事業																										工事請負費〔繰越明許〕	27000		工事請負費〔繰越明許〕	27000		=予算!$AS99*1000	=予算!$AV99*1000
=D100&R100&AU100			R6														刑部支線3283号道改良事業																										工事請負費〔繰越明許〕	65000		工事請負費〔繰越明許〕	65000		=予算!$AS100*1000	=予算!$AV100*1000
=D101&R101&AU101			R6														刑部支線3283号道改良事業																										補償，補填及び賠償金〔繰越明許〕	2000		補償，補填及び賠償金〔繰越明許〕	2000		=予算!$AS101*1000	=予算!$AV101*1000
=D102&R102&AU102			R6														（仮称）神在秦本線改良事業																										工事請負費〔繰越明許〕	12000		工事請負費〔繰越明許〕	12000		=予算!$AS102*1000	=予算!$AV102*1000
=D103&R103&AU103			R6														（仮称）神在秦本線改良事業																										公有財産購入費〔繰越明許〕	7434		公有財産購入費〔繰越明許〕	7434		=予算!$AS103*1000	=予算!$AV103*1000
=D104&R104&AU104			R6														（仮称）神在秦本線改良事業																										補償，補填及び賠償金〔繰越明許〕	39900		補償，補填及び賠償金〔繰越明許〕	39900		=予算!$AS104*1000	=予算!$AV104*1000
=D105&R105&AU105			R6														河川改良事業費																										工事請負費〔繰越明許〕	30000		工事請負費〔繰越明許〕	30000		=予算!$AS105*1000	=予算!$AV105*1000
=D106&R106&AU106			R6														準用河川改修事業（国府川）																										委託料〔繰越明許〕	1254		設計等委託料〔繰越明許〕	1254		=予算!$AS106*1000	=予算!$AV106*1000
=D107&R107&AU107			R6														準用河川改修事業（国府川）																										工事請負費〔繰越明許〕	31746		工事請負費〔繰越明許〕	31746		=予算!$AS107*1000	=予算!$AV107*1000
=D108&R108&AU108			R6														都市下水路改良事業																										工事請負費〔繰越明許〕	2500		工事請負費〔繰越明許〕	2500		=予算!$AS108*1000	=予算!$AV108*1000

