1	=A1+1	=B1+1	=C1+1	=D1+1	=E1+1	=F1+1	=G1+1	=H1+1	=I1+1	=J1+1	=K1+1	=L1+1	=M1+1	=N1+1	=O1+1	=P1+1	=Q1+1	=R1+1	=S1+1	=T1+1	=U1+1	=V1+1	=W1+1	=X1+1	=Y1+1	=Z1+1	=AA1+1	=AB1+1	=AC1+1	=AD1+1	=AE1+1	=AF1+1	=AG1+1	=AH1+1	=AI1+1	=AJ1+1	=AK1+1	=AL1+1	=AM1+1	=AN1+1	=AO1+1	=AP1+1	=AQ1+1	=AR1+1	=AS1+1	=AT1+1	=AU1+1	=AV1+1	=AW1+1	=AX1+1
転記コード	分類	団体コード	年度	会計コード	会計名称	款コード	款名称	所属コード	所属部名称	所属課名称	所属係名称	項コード	項名称	目コード	目名称	大事業コード	大事業名称	中事業コード	中事業名称	小事業コード	小事業名称	施策コード	施策名称大	施策名称中	前年度最終予算額	今年度予算額	補正前予算額	今回補正額	補正後額	前々年度決算額	前年度決算額	今年度決算額	財源内訳内訳（国庫支出金）	財源内訳内訳（県支出金）	財源内訳内訳（市債）	財源内訳内訳（分担金・負担金）	財源内訳内訳（使用料・手数料）	財源内訳内訳（その他）	翌年度繰越額	目的	問題点・課題等	節コード（頭2桁）	節名称	節金額	節コード	細々節名称	細々節金額	積算内容	節金額2	細々節金額2
=D51&R51&AU51	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		1	土木管理費	1	土木総務費	4	土木一般経費	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	8222	11859	0	0	0	0	0	0	0	0	0	0	0	35	0	土木事業を効果的かつ円滑に推進していくための経費。	限られた予算で事務事業を遂行してくため，要望書等は直営で作成し経費削減に努めている。	18	負担金，補助及び交付金	2954	189170	一般国道１８０号岡山県整備促進期成会負担金	55	（目的）関係市の相互協力のもと，国道１８０号の整備促進を図る。　（会員）岡山市，総社市，高梁市，新見市　（積算基礎）負担金総額　200,000円（うち岡山市50%負担，３市で人口割）　　R2国勢調査人	=予算!$AS51*1000	=予算!$AV51*1000
=D52&R52&AU52	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		1	土木管理費	1	土木総務費	4	土木一般経費	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	8222	11859	0	0	0	0	0	0	0	0	0	0	0	35	0	土木事業を効果的かつ円滑に推進していくための経費。	限られた予算で事務事業を遂行してくため，要望書等は直営で作成し経費削減に努めている。	18	負担金，補助及び交付金	2954	189171	国道４２９号道路整備促進期成会負担金	30	（目的）国道４２９号線の早期改良・整備を促進し関係地域の福祉向上と産業発展を期す。　（会員）岡山市，倉敷市，総社市，津山市，真庭市，新庄村，吉備中央町，美咲町　（積算基礎）負担金総額　184,000円	=予算!$AS52*1000	=予算!$AV52*1000
=D53&R53&AU53	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		1	土木管理費	1	土木総務費	4	土木一般経費	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	8222	11859	0	0	0	0	0	0	0	0	0	0	0	35	0	土木事業を効果的かつ円滑に推進していくための経費。	限られた予算で事務事業を遂行してくため，要望書等は直営で作成し経費削減に努めている。	18	負担金，補助及び交付金	2954	189172	中国横断自動車道４車線化促進岡山県期成会負担金	3	3,000円　（目的）中国横断自動車道の利用促進及び地域社会の振興を図る。　（算定基礎）負担金総額　69,000円	=予算!$AS53*1000	=予算!$AV53*1000
=D54&R54&AU54	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		1	土木管理費	1	土木総務費	4	土木一般経費	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	8222	11859	0	0	0	0	0	0	0	0	0	0	0	35	0	土木事業を効果的かつ円滑に推進していくための経費。	限られた予算で事務事業を遂行してくため，要望書等は直営で作成し経費削減に努めている。	18	負担金，補助及び交付金	2954	189173	足守川改修促進協議会負担金	22	（目的）本河川流域の防災と産業の発展及び改修事業の促進を図る。　（会員）岡山市，倉敷市，総社市　（積算基礎）負担金総額　108,000円　　　　　　均等割（15％）5,400　延長割（50％）14,5	=予算!$AS54*1000	=予算!$AV54*1000
=D55&R55&AU55	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		1	土木管理費	1	土木総務費	4	土木一般経費	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	8222	11859	0	0	0	0	0	0	0	0	0	0	0	35	0	土木事業を効果的かつ円滑に推進していくための経費。	限られた予算で事務事業を遂行してくため，要望書等は直営で作成し経費削減に努めている。	18	負担金，補助及び交付金	2954	189175	積算システム負担金	2544	岡山県建設技術センター土木設計積算システム　212,000円×12か月　『臨時的経費』　県内市町村統一利用システム　システム更新による利用料増　2,544千円－1,980千円＝564千円	=予算!$AS55*1000	=予算!$AV55*1000
=D56&R56&AU56	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	2	道路改良等事業（単独分）	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	55450	45200	0	0	0	0	0	0	0	0	0	0	0	0	0	地域の安全安心な住み良いまちづくりのための道路改良に伴う経費。	安心安全な生活を確保するためインフラ整備に努める。＠＄改行＄＠土木担当からの要望を基に優先順位をつけ予算内で工事を行っていく必要がある。。	12	委託料	10200	121301	測量等委託料	2200	用地測量　　②門田支線３１８９号道　　800千円　　　　資料２　　③真壁支線３２２６号道　　600千円　　　　資料３　　⑥南溝手支線３０１４号道　　800千円　　　資料４　　⑧清音柿木支線３００１号道	=予算!$AS56*1000	=予算!$AV56*1000
=D57&R57&AU57	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	2	道路改良等事業（単独分）	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	55450	45200	0	0	0	0	0	0	0	0	0	0	0	0	0	地域の安全安心な住み良いまちづくりのための道路改良に伴う経費。	安心安全な生活を確保するためインフラ整備に努める。＠＄改行＄＠土木担当からの要望を基に優先順位をつけ予算内で工事を行っていく必要がある。。	12	委託料	10200	121501	設計等委託料	8000	測量設計　※部長復活（金井戸下水路）　18,000千円　　⑤溝口支線３０３７号道　　8,000千円　　資料８　※査定ゼロ　-8,000千円　※市長査定　8,000千円	=予算!$AS57*1000	=予算!$AV57*1000
=D58&R58&AU58	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	2	道路改良等事業（単独分）	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	55450	45200	0	0	0	0	0	0	0	0	0	0	0	0	0	地域の安全安心な住み良いまちづくりのための道路改良に伴う経費。	安心安全な生活を確保するためインフラ整備に努める。＠＄改行＄＠土木担当からの要望を基に優先順位をつけ予算内で工事を行っていく必要がある。。	14	工事請負費	35000	140101	工事請負費	35000	　①富原支線３０５１号道外３線　　7,000,000円　　資料９　①別所谷川（久代）　60,000,000円　　資料１９　※部長復活（金井戸下水路）　24,000千円　　②門田支線３１８９号道　　7,	=予算!$AS58*1000	=予算!$AV58*1000
=D59&R59&AU59	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	3	県工事負担金	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	67950	50400	0	0	0	0	0	0	0	0	0	0	0	0	0	県道改良工事に伴う市負担分。	広域的な道路網の整備により交通利便性や経済力向上が期待できる。	18	負担金，補助及び交付金	50400	189101	県道路工事負担金	50400	『臨時的経費』　岡山県建設事業費市町村負担金徴収条例による　資料１２　事業費270,000,000×15％，30,000,000×33%　〇地方特定道路整備事業（250,000千円）　　宍粟真備線　1	=予算!$AS59*1000	=予算!$AV59*1000
=D60&R60&AU60	0	0	R7	1	一般会計	8	土木費	302000	建設部	土木課		2	道路橋りょう費	3	道路新設改良費	5	道路舗装新設等事業（単独分）	0		0		1070000	だれもが安心して住みたくなる総社	①住宅・都市基盤・公共交通等	10400	11300	0	0	0	0	0	0	0	0	0	0	0	0	0	地域の安全安心な住み良いまちづくりのための道路舗装新設に伴う経費。	安全安心な生活を確保するためインフラ整備に努める。＠＄改行＄＠土木担当からの要望を基に優先順位をつけ予算内で工事を行っていく必要がある。	12	委託料	1300	121301	測量等委託料	1300	用地測量　　②下林支線３１７２号道　　500,000円　　資料１３　　④上林支線３０８４号道　　800,000円　　資料１４	=予算!$AS60*1000	=予算!$AV60*1000
