1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'01	'00	土木費	土木管理費	土木総務費	土木一般経費			需用費	消耗品費		250,000	0	250,000	17,160	131,519	118,481	52.6
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'01	'01	土木費	土木管理費	土木総務費	土木一般経費			需用費	消耗品費	消耗品費	250,000	0	250,000	17,160	131,519	118,481	52.6
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'02	'00	土木費	土木管理費	土木総務費	土木一般経費			需用費	燃料費		250,000	0	250,000	0	228,047	21,953	91.2
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'02	'01	土木費	土木管理費	土木総務費	土木一般経費			需用費	燃料費	燃料費	250,000	0	250,000	0	228,047	21,953	91.2
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'04	'00	土木費	土木管理費	土木総務費	土木一般経費			需用費	印刷製本費		137,000	0	137,000	0	123,400	13,600	90.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'04	'01	土木費	土木管理費	土木総務費	土木一般経費			需用費	印刷製本費	印刷製本費	137,000	0	137,000	0	123,400	13,600	90.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'06	'00	土木費	土木管理費	土木総務費	土木一般経費			需用費	修繕料		290,000	0	290,000	0	190,029	99,971	65.5
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'10	'06	'01	土木費	土木管理費	土木総務費	土木一般経費			需用費	修繕料	修繕料	290,000	0	290,000	0	190,029	99,971	65.5
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'11	'00	'00	土木費	土木管理費	土木総務費	土木一般経費			役務費			420,000	0	420,000	0	172,760	247,240	41.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'11	'04	'00	土木費	土木管理費	土木総務費	土木一般経費			役務費	手数料		420,000	0	420,000	0	172,760	247,240	41.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'11	'04	'01	土木費	土木管理費	土木総務費	土木一般経費			役務費	手数料	手数料	420,000	0	420,000	0	172,760	247,240	41.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'13	'00	'00	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料			125,000	0	125,000	0	124,696	304	99.8
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'13	'91	'00	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料	その他使用料及び賃借料		125,000	0	125,000	0	124,696	304	99.8
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'13	'91	'01	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料	その他使用料及び賃借料	積算単価データ使用料	116,000	0	116,000	0	115,896	104	99.9
