1	2		4						10													23	24	25	26	27	28	29	30	31	32								※予算流用があった際はこの表を直接編集（編集後は赤字）					
転記コード	年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率							
R6土木一般経費修繕料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	10	06	01	土木費	土木管理費	土木総務費	土木一般経費			需用費	修繕料	修繕料	290,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	11	00	00	土木費	土木管理費	土木総務費	土木一般経費			役務費			420,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	11	04	00	土木費	土木管理費	土木総務費	土木一般経費			役務費	手数料		420,000													
R6土木一般経費手数料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	11	04	01	土木費	土木管理費	土木総務費	土木一般経費			役務費	手数料	手数料	420,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	13	00	00	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料			125,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	13	91	00	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料	その他使用料及び賃借料		125,000													
R6土木一般経費積算単価データ使用料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	13	91	01	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料	その他使用料及び賃借料	積算単価データ使用料	116,000													
R6土木一般経費情報交換システム等使用料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	13	91	02	土木費	土木管理費	土木総務費	土木一般経費			使用料及び賃借料	その他使用料及び賃借料	情報交換システム等使用料	9,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	00	00	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金			2,390,000													
R6土木一般経費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	00	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金		2,390,000													
R6土木一般経費日本道路協会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	50	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	日本道路協会負担金	30,000													
R6土木一般経費岡山県市町村道整備促進期成同盟会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	51	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	岡山県市町村道整備促進期成同盟会負担金	14,000													
R6土木一般経費高梁川改修促進協議会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	53	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	高梁川改修促進協議会負担金	104,000													
R6土木一般経費中国国道協会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	56	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	中国国道協会負担金	60,000													
R6土木一般経費国道４８６号整備促進岡山県期成会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	60	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	国道４８６号整備促進岡山県期成会負担金	30,000													
R6土木一般経費倉敷船穂真備総社線建設促進期成会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	64	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	倉敷船穂真備総社線建設促進期成会負担金	12,000													
R6土木一般経費岡山県土木協会会費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	69	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	岡山県土木協会会費	50,000													
R6土木一般経費一般国道１８０号岡山県整備促進期成会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	70	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	一般国道１８０号岡山県整備促進期成会負担金	55,000													
R6土木一般経費国道４２９号道路整備促進期成会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	71	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	国道４２９号道路整備促進期成会負担金	30,000													
R6土木一般経費中国横断自動車道４車線化促進岡山県期成会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	72	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	中国横断自動車道４車線化促進岡山県期成会負担金	3,000													
R6土木一般経費足守川改修促進協議会負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	73	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	足守川改修促進協議会負担金	22,000													
R6土木一般経費積算システム負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	01	01	04	00	00	18	91	75	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	積算システム負担金	1,980,000													
R6	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	00	00	00	00	00	00	00	土木費	道路橋りょう費								448,020,000													
R6	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	00	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費							448,020,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）						55,450,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	12	00	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			委託料			800,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	12	13	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			委託料	測量等委託料		800,000													
R6道路改良等事業（単独分）測量等委託料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	12	13	01	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			委託料	測量等委託料	測量等委託料	800,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	14	00	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			工事請負費			52,300,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	14	01	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			工事請負費	工事請負費		52,300,000													
R6道路改良等事業（単独分）工事請負費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	14	01	01	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			工事請負費	工事請負費	工事請負費	52,300,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	16	00	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			公有財産購入費			2,350,000													
R6道路改良等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	16	02	00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			公有財産購入費	土地購入費		2,350,000													
R6道路改良等事業（単独分）土地購入費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	02	00	00	16	02	01	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			公有財産購入費	土地購入費	土地購入費	2,350,000													
R6県工事負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	03	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費	県工事負担金						52,650,000													
R6県工事負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	03	00	00	18	00	00	土木費	道路橋りょう費	道路新設改良費	県工事負担金			負担金，補助及び交付金			52,650,000													
R6県工事負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	03	00	00	18	91	00	土木費	道路橋りょう費	道路新設改良費	県工事負担金			負担金，補助及び交付金	その他負担金，補助及び交付金		52,650,000													
R6県工事負担金県道路工事負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	03	00	00	18	91	01	土木費	道路橋りょう費	道路新設改良費	県工事負担金			負担金，補助及び交付金	その他負担金，補助及び交付金	県道路工事負担金	52,650,000													
R6道路舗装新設等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）						10,400,000													
R6道路舗装新設等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	12	00	00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			委託料			400,000													
R6道路舗装新設等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	12	13	00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			委託料	測量等委託料		400,000													
R6道路舗装新設等事業（単独分）測量等委託料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	12	13	01	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			委託料	測量等委託料	測量等委託料	400,000													
R6道路舗装新設等事業（単独分）	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	05	00	00	14	00	00	土木費	道路橋りょう費	道路新設改良費	道路舗装新設等事業（単独分）			工事請負費			10,000,000													
